    0.26576E-02    0.99267E+04
    0.27113E-02    0.10090E+05
    0.27660E-02    0.10255E+05
    0.28219E-02    0.10422E+05
    0.28789E-02    0.10590E+05
    0.29371E-02    0.10761E+05
    0.29964E-02    0.10934E+05
    0.30569E-02    0.11108E+05
    0.31187E-02    0.11285E+05
    0.31817E-02    0.11463E+05
    0.32460E-02    0.11643E+05
    0.33115E-02    0.11825E+05
    0.33784E-02    0.12009E+05
    0.34467E-02    0.12194E+05
    0.35163E-02    0.12381E+05
    0.35874E-02    0.12570E+05
    0.36598E-02    0.12760E+05
    0.37338E-02    0.12953E+05
    0.38092E-02    0.13146E+05
    0.38861E-02    0.13342E+05
    0.39646E-02    0.13538E+05
    0.40447E-02    0.13737E+05
    0.41264E-02    0.13937E+05
    0.42098E-02    0.14138E+05
    0.42948E-02    0.14340E+05
    0.43816E-02    0.14544E+05
    0.44701E-02    0.14749E+05
    0.45604E-02    0.14955E+05
    0.46525E-02    0.15162E+05
    0.47465E-02    0.15370E+05
    0.48424E-02    0.15579E+05
    0.49402E-02    0.15789E+05
    0.50400E-02    0.15999E+05
    0.51419E-02    0.16211E+05
    0.52457E-02    0.16423E+05
    0.53517E-02    0.16635E+05
    0.54598E-02    0.16848E+05
    0.55701E-02    0.17061E+05
    0.56826E-02    0.17274E+05
    0.57974E-02    0.17488E+05
    0.59145E-02    0.17702E+05
    0.60340E-02    0.17915E+05
    0.61559E-02    0.18128E+05
    0.62803E-02    0.18341E+05
    0.64072E-02    0.18553E+05
    0.65366E-02    0.18765E+05
    0.66686E-02    0.18976E+05
    0.68033E-02    0.19186E+05
    0.69408E-02    0.19395E+05
    0.70810E-02    0.19603E+05
    0.72240E-02    0.19809E+05
    0.73700E-02    0.20014E+05
    0.75189E-02    0.20218E+05
    0.76708E-02    0.20419E+05
    0.78257E-02    0.20619E+05
    0.79838E-02    0.20816E+05
    0.81451E-02    0.21011E+05
    0.83096E-02    0.21203E+05
    0.84775E-02    0.21393E+05
    0.86488E-02    0.21579E+05
    0.88235E-02    0.21763E+05
    0.90017E-02    0.21943E+05
    0.91836E-02    0.22119E+05
    0.93691E-02    0.22292E+05
    0.95583E-02    0.22460E+05
    0.97514E-02    0.22625E+05
    0.99484E-02    0.22785E+05
    0.10149E-01    0.22940E+05
    0.10354E-01    0.23090E+05
    0.10564E-01    0.23235E+05
    0.10777E-01    0.23374E+05
    0.10995E-01    0.23508E+05
    0.11217E-01    0.23635E+05
    0.11443E-01    0.23757E+05
    0.11675E-01    0.23872E+05
    0.11910E-01    0.23980E+05
    0.12151E-01    0.24081E+05
    0.12397E-01    0.24175E+05
    0.12647E-01    0.24261E+05
    0.12902E-01    0.24339E+05
    0.13163E-01    0.24409E+05
    0.13429E-01    0.24471E+05
    0.13700E-01    0.24524E+05
    0.13977E-01    0.24569E+05
    0.14259E-01    0.24604E+05
    0.14547E-01    0.24629E+05
    0.14841E-01    0.24645E+05
    0.15141E-01    0.24651E+05
    0.15447E-01    0.24647E+05
    0.15759E-01    0.24633E+05
    0.16077E-01    0.24608E+05
    0.16402E-01    0.24572E+05
    0.16734E-01    0.24525E+05
    0.17072E-01    0.24467E+05
    0.17416E-01    0.24398E+05
    0.17768E-01    0.24317E+05
    0.18127E-01    0.24225E+05
    0.18493E-01    0.24121E+05
    0.18867E-01    0.24005E+05
    0.19248E-01    0.23877E+05
    0.19637E-01    0.23738E+05
    0.20034E-01    0.23586E+05
    0.20438E-01    0.23423E+05
    0.20851E-01    0.23249E+05
    0.21272E-01    0.23062E+05
    0.21702E-01    0.22864E+05
    0.22141E-01    0.22655E+05
    0.22588E-01    0.22435E+05
    0.23044E-01    0.22204E+05
    0.23510E-01    0.21962E+05
    0.23985E-01    0.21710E+05
    0.24469E-01    0.21448E+05
    0.24964E-01    0.21177E+05
    0.25468E-01    0.20897E+05
